Path,File,Date Acquired,Sample,Misc
D:\MassHunter\GCMS\1\data\20181213\,H501.D,13 Dec 2018  19:03    ,H501, 
TIC: H501.D\data.ms,,,,
2.09,163715,,,
2.094,162323,,,
2.097,161923,,,
2.1,165155,,,
2.104,161148,,,
2.107,162847,,,
2.111,161062,,,
2.114,158838,,,
2.117,158834,,,
2.121,158004,,,
2.124,157763,,,
2.127,157034,,,
2.131,156060,,,
2.134,153475,,,
2.138,153274,,,
2.141,152193,,,
2.144,151630,,,
2.148,148416,,,
2.151,148164,,,
2.154,151072,,,
2.158,148517,,,
2.161,148411,,,
2.165,145092,,,
2.168,143963,,,
2.171,143592,,,
2.175,143201,,,
2.178,142422,,,
2.181,141586,,,
2.185,139665,,,
2.188,139087,,,
2.192,138241,,,
2.195,136785,,,
2.198,136129,,,
2.202,136311,,,
2.205,135907,,,
2.208,133778,,,
2.212,133471,,,
2.215,131363,,,
2.219,133849,,,
2.222,131837,,,
2.225,129983,,,
2.229,129794,,,
2.232,128330,,,
2.235,129017,,,
2.239,129848,,,
2.242,126783,,,
2.246,126773,,,
2.249,125790,,,
2.252,125602,,,
2.256,121763,,,
2.259,123911,,,
2.262,122385,,,
2.266,124555,,,
2.269,123549,,,
2.273,121950,,,
2.276,120673,,,
2.279,120505,,,
2.283,119319,,,
2.286,121700,,,
2.289,122111,,,
2.293,122389,,,
2.296,119734,,,
2.3,119609,,,
2.303,117530,,,
2.306,116461,,,
2.31,113025,,,
2.313,113669,,,
2.316,111321,,,
2.32,110036,,,
2.323,110916,,,
2.327,110135,,,
2.33,107716,,,
2.333,109321,,,
2.337,106721,,,
2.34,108732,,,
2.343,106384,,,
2.347,107178,,,
2.35,105235,,,
2.354,105715,,,
2.357,103045,,,
2.36,104722,,,
2.364,102571,,,
2.367,100405,,,
2.37,101029,,,
2.374,100083,,,
2.377,97407,,,
2.381,97480,,,
2.384,100048,,,
2.387,100764,,,
2.391,98482,,,
2.394,98968,,,
2.397,97721,,,
2.401,94749,,,
2.404,95372,,,
2.408,95250,,,
2.411,94526,,,
2.414,94272,,,
2.418,96066,,,
2.421,94712,,,
2.424,91784,,,
2.428,95508,,,
2.431,94979,,,
2.435,94420,,,
2.438,92543,,,
2.441,92956,,,
2.445,92978,,,
2.448,91232,,,
2.451,89785,,,
2.455,89950,,,
2.458,88826,,,
2.462,85286,,,
2.465,88098,,,
2.468,86575,,,
2.472,86540,,,
2.475,87004,,,
2.478,84395,,,
2.482,84028,,,
2.485,83695,,,
2.489,84826,,,
2.492,82750,,,
2.495,82755,,,
2.499,82093,,,
2.502,84229,,,
2.505,81272,,,
2.509,81502,,,
2.512,79986,,,
2.516,80529,,,
2.519,81086,,,
2.522,80622,,,
2.526,79182,,,
2.529,80077,,,
2.532,79384,,,
2.536,78374,,,
2.539,77219,,,
2.543,77485,,,
2.546,75821,,,
2.549,75832,,,
2.553,74778,,,
2.556,75689,,,
2.559,78244,,,
2.563,76309,,,
2.566,74219,,,
2.57,73711,,,
2.573,73937,,,
2.576,74409,,,
2.58,74586,,,
2.583,75244,,,
2.586,73155,,,
2.59,73851,,,
2.593,71153,,,
2.597,72597,,,
2.6,72376,,,
2.603,69994,,,
